num_features,metric,num_trees,num_neighbours,subsample_size,accuracy,time_for_pipeline
15,euclidean,30,10,200,0.96,0.9299
15,euclidean,30,10,500,0.814,1.3263
15,euclidean,30,10,1000,0.789,1.9276
15,euclidean,30,50,200,1.0,1.0305
15,euclidean,30,50,500,1.0,1.4357
15,euclidean,30,50,1000,0.999,2.1558
15,manhattan,5,5,200,0.41,0.9567
15,manhattan,5,5,500,0.532,1.0245
15,manhattan,5,5,1000,0.53,1.3357
15,manhattan,5,10,200,0.52,0.8169
15,manhattan,5,10,500,0.478,0.9739
15,manhattan,5,10,1000,0.495,1.1705
15,manhattan,5,50,200,0.98,0.7381
15,manhattan,5,50,500,0.78,1.1262
15,manhattan,5,50,1000,0.77,1.4118
15,manhattan,10,5,200,0.6,0.8576
15,manhattan,10,5,500,0.606,1.2678
15,manhattan,10,5,1000,0.633,1.9468
15,manhattan,10,10,200,0.795,0.9008
15,manhattan,10,10,500,0.65,1.4175
15,manhattan,10,10,1000,0.627,1.8059
15,manhattan,10,50,200,0.99,0.8994
15,manhattan,10,50,500,0.872,1.4998
15,manhattan,10,50,1000,0.898,1.5727
15,manhattan,30,5,200,0.725,0.6298
15,manhattan,30,5,500,0.722,0.8706
15,manhattan,30,5,1000,0.716,1.2073
15,manhattan,30,10,200,0.84,0.7623
15,manhattan,30,10,500,0.782,0.8743
15,manhattan,30,10,1000,0.746,1.2305
15,manhattan,30,50,200,0.99,0.9196
15,manhattan,30,50,500,0.888,0.9647
15,manhattan,30,50,1000,0.918,1.9374
30,angular,5,5,200,0.31,0.9772
30,angular,5,5,500,0.408,1.2583
30,angular,5,5,1000,0.38,1.8254
30,angular,5,10,200,0.295,0.9743
30,angular,5,10,500,0.39,1.5647
30,angular,5,10,1000,0.462,1.96
30,angular,5,50,200,0.065,0.8235
30,angular,5,50,500,0.408,0.9039
30,angular,5,50,1000,0.678,1.3826
30,angular,10,5,200,0.39,0.8666
30,angular,10,5,500,0.448,1.0102
30,angular,10,5,1000,0.457,1.3155
30,angular,10,10,200,0.375,0.7239
30,angular,10,10,500,0.476,0.9751
30,angular,10,10,1000,0.522,1.3176
30,angular,10,50,200,0.07,0.8877
30,angular,10,50,500,0.45,1.4293
30,angular,10,50,1000,0.762,2.0084
30,angular,30,5,200,0.46,0.957
30,angular,30,5,500,0.502,1.3847
30,angular,30,5,1000,0.515,1.9054
30,angular,30,10,200,0.455,1.0055
30,angular,30,10,500,0.538,1.1379
30,angular,30,10,1000,0.549,1.5614
30,angular,30,50,200,0.08,0.7729
30,angular,30,50,500,0.43,1.0784
30,angular,30,50,1000,0.774,1.676
30,euclidean,5,5,200,0.44,0.8522
30,euclidean,5,5,500,0.558,0.8767
30,euclidean,5,5,1000,0.525,1.2164
30,euclidean,5,10,200,0.47,0.869
30,euclidean,5,10,500,0.614,0.9543
30,euclidean,5,10,1000,0.649,1.8631
30,euclidean,5,50,200,0.95,0.9101
30,euclidean,5,50,500,0.724,1.3194
30,euclidean,5,50,1000,0.789,2.0435
30,euclidean,10,5,200,0.62,0.8903
30,euclidean,10,5,500,0.684,1.2861
30,euclidean,10,5,1000,0.629,1.7583
30,euclidean,10,10,200,0.74,0.6759
30,euclidean,10,10,500,0.796,0.8848
30,euclidean,10,10,1000,0.783,1.5277
30,euclidean,10,50,200,1.0,0.7812
30,euclidean,10,50,500,0.9,1.0594
30,euclidean,10,50,1000,0.939,1.4858
30,euclidean,30,5,200,0.775,0.9317
30,euclidean,30,5,500,0.786,1.0412
30,euclidean,30,5,1000,0.758,1.5926
30,euclidean,30,10,200,0.93,0.982
30,euclidean,30,10,500,0.918,1.3047
30,euclidean,30,10,1000,0.881,1.9243
30,euclidean,30,50,200,1.0,1.2137
30,euclidean,30,50,500,1.0,1.3662
30,euclidean,30,50,1000,0.991,2.2193
30,manhattan,5,5,200,0.415,1.0114
30,manhattan,5,5,500,0.518,0.9895
30,manhattan,5,5,1000,0.489,1.4537
30,manhattan,5,10,200,0.455,0.7632
30,manhattan,5,10,500,0.532,1.025
30,manhattan,5,10,1000,0.581,1.4257
30,manhattan,5,50,200,0.94,0.7891
30,manhattan,5,50,500,0.666,1.1197
30,manhattan,5,50,1000,0.759,1.6294
30,manhattan,10,5,200,0.595,0.9093
30,manhattan,10,5,500,0.608,1.4147
30,manhattan,10,5,1000,0.583,1.7493
30,manhattan,10,10,200,0.63,0.9069
30,manhattan,10,10,500,0.658,1.4328
30,manhattan,10,10,1000,0.698,2.5103
30,manhattan,10,50,200,1.0,0.9138
30,manhattan,10,50,500,0.888,1.0695
30,manhattan,10,50,1000,0.905,1.5087
30,manhattan,30,5,200,0.71,0.7537
30,manhattan,30,5,500,0.75,0.8557
30,manhattan,30,5,1000,0.727,1.2398
30,manhattan,30,10,200,0.855,0.6639
30,manhattan,30,10,500,0.862,0.8518
30,manhattan,30,10,1000,0.843,1.3485
30,manhattan,30,50,200,1.0,0.8283
30,manhattan,30,50,500,0.966,1.2503
30,manhattan,30,50,1000,0.947,2.1182
